lead1,lead2,lead3
4171556,4198403,4206453
4173171,4198726,4205137
4172751,4198928,4205771
4172037,4199172,4206691
4171081,4199061,4207553
4171472,4198641,4206816
4173214,4198577,4204951
4172807,4198846,4205633
4172197,4199113,4206533
4171270,4199085,4207414
4175185,4196685,4201126
4173269,4198772,4205096
4172839,4198973,4205694
4172431,4198661,4205772
4171524,4198866,4206936
4174876,4198393,4202986
4173483,4198772,4204745
4173042,4198846,4205300
4172654,4198633,4205509
4171738,4198820,4206637
4174931,4197957,4202591
4174121,4197257,4202678
4174658,4195028,4199920
4173670,4195559,4201467
4171456,4198257,4206391
4174675,4198311,4203136
4173295,4198754,4204987
4172757,4198843,4205615
4172225,4198569,4205885
4171326,4198773,4207017
4174758,4198163,4202941
4173332,4198627,4204849
4172809,4198769,4205484
4172279,4198528,4205766
4175859,4196557,4200249
4174628,4198167,4203028
4173177,4198611,4204937
4172925,4198235,4204824
4172365,4198205,4205388
4175408,4198218,4202410
4174759,4198161,4202969
4173359,4198443,4204650
4173138,4197957,4204430
4172517,4197922,4205057
4175349,4198028,4202308
4175289,4196907,4201191
4174953,4194829,4199412
4174283,4195241,4200511
4172440,4197731,4204877
4175099,4198234,4202729
4174477,4198123,4203207
4173219,4198359,4204713
4172881,4197939,4204630
4172179,4197985,4205387
4175049,4198043,4202503
4174580,4198009,4202887
4173394,4198303,4204397
4173177,4197939,4204275
4172852,4197579,4204234
4174817,4198024,4202841
4174264,4198080,4203374
4173081,4198403,4204869
4172782,4197973,4204711
4173409,4198963,4205177
4175133,4198040,4202422
4174631,4197959,4202740
4173637,4197744,4203511
4173215,4197516,4203723
4173639,4198983,4204994
4175959,4196872,4200482
4176485,4194259,4197312
4174967,4195088,4199741
4173433,4197377,4203562
4173539,4199227,4205242
4175309,4198260,4202455
4174657,4198141,4202915
4173545,4197924,4203862
4173179,4197694,4204044
4173593,4198938,4204937
4175414,4197894,4202019
4174817,4197765,4202436
4173656,4197634,4203437
4173550,4197145,4203121
4173397,4199058,4205206
4175229,4198092,4202388
4174594,4197853,4202743
4173408,4197652,4203724
4173022,4197486,4203975
4173243,4199060,4205354
4175287,4198060,4202288
4174674,4197921,4202737
4173532,4197706,4203693
4171175,4199820,4208218
4174223,4197398,4202698
4176853,4193858,4196445
4176096,4194177,4197596
4173845,4196734,4202434
4170951,4200059,4208691
4173463,4198878,4205026
4175292,4197740,4202034
4174989,4197151,4201652
4173853,4197216,4202854
4171192,4200119,4208537
4173598,4199102,4205085
4175315,4197997,4202211
4175088,4197218,4201671
4174218,4196865,4202262
4170442,4200511,4209703
4173075,4199494,4206116
4175135,4198385,4202906
4175077,4197612,4202112
4174170,4197473,4202889
4171173,4200175,4208674
4173045,4199174,4205825
4174648,4198091,4203055
4175045,4197159,4201649
4175103,4196645,4201066
4171628,4198396,4206271
4173695,4195628,4201459
4174710,4195444,4200289
4174700,4196707,4201523
4172665,4198685,4205510
4171124,4199523,4207955
4171688,4199140,4207059
4173328,4197704,4203912
4174806,4196537,4201221
4172822,4198536,4205165
4171044,4199419,4207918
4171421,4199134,4207298
4173064,4197707,4204221
4174876,4196157,4200812
4172421,4198783,4205821
4170382,4199974,4209109
4170658,4199812,4208717
4172342,4198473,4205663
4174190,4197134,4202474
4172663,4198769,4205517
4170312,4199956,4209079
4170197,4199855,4209169
4171797,4198516,4206298
4173865,4197211,4202926
4173131,4197806,4204062
4171564,4197094,4204952
4170607,4197728,4206600
4170642,4198451,4207365
4176035,4197553,4200866
4172768,4198913,4205537
4169939,4200261,4209780
4169561,4199978,4209882
4171042,4198828,4207299
4176585,4197404,4200257
4173124,4198762,4205071
4169925,4200079,4209646
4169169,4199878,4210211
4170791,4198442,4207157
4176627,4197493,4200246
4172815,4199126,4205677
4169452,4200642,4210621
4168681,4200497,4211234
4170152,4199271,4208572
4176815,4197420,4200001
4172999,4199009,4205366
4169420,4200644,4210616
4168567,4200597,4211443
4170177,4199335,4208616
4177953,4196127,4197627
4175013,4195477,4199937
4170651,4198035,4206862
4168387,4200390,4211497
4169681,4199748,4209580
4177431,4197395,4199462
4173237,4199082,4205329
4169333,4200880,4211091
4168339,4200945,4212140
4178880,4197123,4197817
4177613,4197396,4199307
4173394,4198855,4204998
4169579,4200117,4210126
4168617,4200148,4211105
4178460,4196839,4197895
4177132,4197180,4199481
4172838,4198667,4205243
4169027,4199994,4210435
4167894,4200278,4211852
4178546,4196563,4197478
4177304,4196813,4198913
4173099,4198311,4204599
4169324,4199716,4209880
4168131,4200225,4211601
4179042,4195576,4195942
4178745,4193408,4194030
4174287,4195712,4200840
4169291,4199741,4209863
4167749,4200704,4212402
4178495,4196660,4197635
4177250,4196943,4199101
4173031,4198511,4204907
4169145,4199903,4210246
4167854,4200242,4211896
4178485,4196557,4197493
4177185,4196832,4199013
4172979,4198395,4204791
4169433,4199494,4209468
4176020,4197678,4201208
4178438,4196690,4197735
4177201,4196819,4199003
4173103,4197880,4204166
4169115,4199555,4209884
4176049,4197438,4200928
4178389,4196419,4197486
4177161,4196506,4198751
4173157,4197465,4203703
4169150,4199106,4209389
4176531,4196162,4199117
4179719,4192714,4192425
4177906,4193782,4195335
4173007,4197365,4203844
4168989,4199633,4210077
4176027,4197569,4201064
4178370,4196512,4197606
4177174,4196634,4198875
4173226,4197696,4203907
4169260,4199303,4209543
4176270,4197395,4200643
4178599,4196345,4197253
4177322,4196519,4198628
4173621,4197224,4202982
4171445,4196769,4204766
4175957,4197599,4201111
4178368,4196531,4197548
4177140,4196707,4198899
4173098,4197777,4204030
4172215,4198978,4206236
4176283,4197338,4200554
4178615,4196173,4197025
4177498,4195844,4197701
4173455,4197114,4202963
4173066,4197664,4204116
4177919,4193694,4195218
4179626,4193517,4193340
4177644,4195609,4197331
4173333,4197490,4203529
4172453,4199335,4206276
4176378,4197706,4200740
4178701,4196531,4197260
4177633,4196135,4197906
4173548,4197379,4203241
4172536,4199286,4206276
4176427,4197666,4200744
4178773,4196455,4197170
4177916,4195721,4197230
4175358,4194847,4198904
4172108,4199491,4206903
4176033,4197817,4201315
4178376,4196582,4197705
4177215,4196151,4198325
4173179,4197445,4203639
4172122,4199212,4206598
4176060,4197539,4200990
4178430,4196402,4197479
4177391,4196077,4198134
4169402,4199648,4209702
4174105,4195570,4200941
4177732,4194032,4195838
4179031,4194966,4195487
4177411,4195920,4197938
4168657,4201118,4212022
4172394,4199386,4206578
4176400,4197563,4200725
4178808,4195848,4196547
4177530,4195602,4197539
4168800,4200897,4211594
4172491,4199332,4206395
4176507,4197506,4200578
4179198,4195409,4195682
4179254,4193201,4193332
4168544,4201306,4212249
4172239,4199553,4206820
4176178,4197711,4201053
4178629,4196017,4196857
4177495,4195932,4197848
4168628,4201129,4211969
4172331,4199359,4206558
4176331,4197549,4200702
4178792,4195906,4196544
4167866,4200778,4212395
4170746,4197811,4206538
4173746,4196445,4202246
4176630,4196390,4199330
4178755,4195568,4196281
4166934,4201796,4214349
4168585,4200909,4211823
4172304,4199069,4206317
4176430,4196785,4199881
4178766,4195354,4196036
4167007,4201732,4214159
4168663,4200751,4211559
4172360,4198842,4205998
4176653,4196126,4198991
4180114,4192678,4191995
4166636,4202098,4214942
4168311,4201142,4212299
4172050,4199226,4206720
4176206,4196886,4200197
4178535,4195561,4196449
4166945,4201931,4214424
4168587,4201030,4211912
4172254,4199228,4206442
4176393,4196831,4199847
4178716,4195355,4196002
4169249,4198840,4209089
4170550,4198250,4207144
4172523,4198755,4205698
4176332,4197037,4200176
4168464,4201185,4212189
4167144,4201970,4214260
4168847,4201055,4211693
4172841,4198682,4205377
4176783,4196554,4199261
4168530,4201177,4212053
4167214,4201857,4214044
4168894,4200832,4211342
4173015,4198169,4204602
4178137,4193961,4195244
4168304,4201603,4212797
4166981,4202362,4214822
4168739,4201173,4211846
4172712,4198668,4205415
4176693,4196620,4199366
4168338,4201100,4212180
4167049,4201805,4214195
4168720,4200775,4211528
4172585,4198457,4205396
4176626,4196306,4199219
4170305,4197995,4207105
4168853,4199195,4209804
4168939,4200351,4210918
4172488,4198582,4205591
4176589,4196525,4199439
4168508,4201268,4212282
4167199,4201951,4214277
4168826,4200930,4211637
4172755,4198525,4205318
4172643,4198812,4205575
4168540,4200734,4211670
4167264,4201298,4213522
4169322,4199458,4209627
4174363,4195227,4200357
4172299,4198951,4206064
4168291,4200896,4212113
4167064,4201489,4213962
4168896,4199926,4210572
4172595,4197801,4204786
4172444,4198767,4205808
4168406,4200792,4211917
4167142,4201375,4213764
4168951,4199913,4210537
4172679,4197700,4204644
4174170,4195163,4200472
4169653,4198212,4208099
4167126,4201006,4213372
4168777,4199938,4210672
4172620,4197792,4204710
4172467,4198662,4205666
4168403,4200625,4211769
4167166,4201194,4213574
4169009,4199686,4210246
4172772,4197671,4204508
4172431,4198699,4205830
4168342,4200687,4212023
4167497,4200987,4213135
4171058,4197484,4206083
4176852,4197214,4199900
4172563,4198925,4205829
4168518,4200783,4211772
4167484,4200989,4213074
4169200,4199773,4210180
4177139,4197202,4199538
4172929,4198968,4205539
4168850,4200879,4211567
4167759,4200964,4212746
4169405,4199606,4209789
4178525,4193300,4194258
4173873,4195905,4201615
4168763,4200373,4211259
4167436,4201176,4213374
4169188,4199885,4210260
4177039,4197037,4199511
4172843,4198777,4205466
4168771,4200647,4211486
4167684,4200847,4212795
4169372,4199732,4210012
4177077,4196966,4199368
4172653,4198669,4205488
4168870,4200210,4210902
4169709,4198386,4208184
4178363,4196839,4197971
4177071,4197146,4199542
4172742,4198729,4205483
4168899,4200226,4210878
4167795,4200642,4212418
4178659,4196741,4197649
4177405,4197013,4199121
4173096,4198576,4204974
4169155,4199940,4210301
4167886,4200304,4211934
4180017,4193042,4192558
4178498,4194099,4195137
4173249,4198240,4204482
4169021,4200307,4210790
4167716,4200713,4212510
4178603,4196831,4197694
4177313,4197122,4199262
4173060,4198716,4205142
4169161,4200137,4210539
4167867,4200617,4212316
4178920,4196786,4197405
4177593,4197080,4199051
4173475,4198354,4204466
4171148,4197848,4206310
4170954,4196944,4205615
4178662,4196762,4197736
4177301,4197039,4199290
4172869,4198596,4205255
4168921,4200035,4210691
4176418,4197478,4200601
4178836,4196429,4197101
4177554,4196605,4198482
4173325,4197702,4203809
4169214,4199405,4209693
4178070,4193832,4195318
4180109,4193526,4193006
4177709,4196304,4198138
4173028,4198000,4204443
4168893,4199806,4210400
4176376,4197686,4200948
4178801,4196589,4197364
4177509,4196764,4198759
4173299,4197874,4204048
4169221,4199630,4209931
4176556,4197596,4200640
4178933,4196583,4197176
4177757,4196481,4198195
4175087,4195548,4199971
4172081,4196007,4203490
4176200,4197674,4201085
4178596,4196550,4197531
4177255,4196755,4198987
4173091,4197939,4204297
4169108,4199627,4210047
4176132,4197567,4201040
4178415,4196532,4197661
4177108,4196666,4199027
4172975,4197724,4204146
4174060,4195072,4200539
4177585,4194151,4196166
4178711,4195689,4196501
4177204,4196129,4198385
4172905,4197474,4203995
4172139,4199302,4206714
4176189,4197532,4200887
4178487,4196264,4197275
4177359,4195869,4197958
4173285,4197278,4203406
4172274,4199061,4206337
4176450,4197331,4200437
4179134,4195534,4195881
4179369,4192659,4192703
4175875,4193052,4196634
4172054,4199332,4206869
4176206,4197608,4200956
4178621,4196406,4197265
4177417,4196024,4198070
4173124,4197314,4203657
4172344,4199035,4206319
4176445,4197334,4200462
4178824,4196105,4196854
4177635,4195685,4197575
4173389,4197031,4203142
4173754,4196248,4202132
4176652,4196807,4199768
4178786,4196285,4197025
4177649,4195995,4197818
4168775,4200800,4211542
4172581,4199100,4206098
4176679,4197327,4200189
4179204,4195679,4195929
4177986,4195592,4197013
4168903,4200845,4211444
4172713,4199065,4205906
4177194,4196542,4198924
4180936,4192284,4190857
4179871,4191281,4190899
4168680,4201201,4212035
4172493,4199412,4206495
4176670,4197457,4200327
4179290,4195687,4195873
4177971,4195664,4197120
4168858,4200969,4211668
4172667,4199165,4206103
4176756,4197336,4200137
4179194,4195624,4195950
4177831,4195477,4197140
4170294,4198497,4207826
4172664,4198819,4205761
4176488,4197406,4200450
4178944,4195623,4196180
4167112,4201797,4214228
4168843,4200925,4211611
4172663,4199152,4206033
4176866,4196858,4199492
4179194,4195433,4195737
4167129,4201796,4214205
4168837,4200886,4211628
4172981,4198362,4204972
4178367,4193436,4194597
4180765,4191165,4189894
4166711,4202184,4215010
4168438,4201239,4212340
4172219,4199202,4206579
4176445,4196667,4199795
4178845,4195192,4195930
4166902,4201811,4214427
4168607,4200833,4211785
4172415,4198926,4206100
4176681,4196656,4199509
4179093,4195210,4195602
4168562,4199583,4210541
4168871,4200733,4211446
4172365,4199244,4206494
4176545,4196815,4199817
4178927,4195307,4195832
4166941,4201841,4214424
4168668,4200856,4211745
4172473,4198944,4206066
4176669,4196563,4199473
4168417,4200948,4212032
4167102,4201661,4214098
4169147,4200061,4210485
4174558,4195285,4200280
4179106,4192275,4192748
4168198,4201442,4212806
4166843,4202136,4214860
4168523,4201049,4212073
4172565,4198616,4205614
4176760,4196413,4199245
4168297,4201095,4212359
4169640,4200243,4210156
4169767,4198956,4208775
4171638,4197412,4205287
4173932,4198354,4203926
4177258,4198544,4200881
4179471,4197580,4197624
4166950,4204168,4216767
4168642,4203114,4213997
4172382,4200883,4208035
4176851,4198170,4200819
4179294,4196575,4196742
4166809,4203285,4215980
4168588,4202175,4213116
4172543,4199879,4206924
4177714,4195640,4197470
4167963,4202253,4213837
4166661,4203051,4215914
4168490,4201921,4212950
4172631,4199238,4206141
4176788,4196897,4199600
4168071,4201875,4213260
4166741,4202680,4215356
4168552,4201573,4212443
4172685,4198971,4205766
4176900,4196740,4199337
4170037,4199029,4208542
4169049,4199276,4209765
4169342,4200236,4210399
4172559,4198933,4205939
4176700,4196775,4199617
4168099,4201637,4213039
4166696,4202446,4215268
4168453,4201388,4212453
4172621,4198917,4205863
4176867,4196672,4199375
4167854,4201451,4213051
4166645,4202280,4215116
4168462,4200972,4212032
4173418,4196849,4202990
4171890,4199406,4206951
4167705,4201572,4213360
4166529,4202279,4215250
4168500,4200677,4211701
4172438,4198270,4205393
4172115,4199292,4206620
4167931,4201521,4213108
4166666,4202236,4215112
4168669,4200685,4211525
4172687,4198378,4205223
4173857,4196631,4202131
4170374,4197990,4207052
4167792,4200802,4212521
4168562,4200866,4211868
4172447,4198551,4205685
4172235,4199420,4206641
4168017,4201484,4213017
4166682,4202088,4214916
4168597,4200537,4211434
4172486,4198171,4205244
4172172,4199104,4206363
4167971,4201328,4212824
4166736,4201969,4214722
4169768,4198990,4208772
4175169,4194199,4198536
4171910,4199318,4206872
4167773,4201437,4213202
4166438,4202157,4215275
4168349,4200549,4211759
4176535,4197249,4200152
4172176,4199124,4206349
4168074,4201143,4212526
4167099,4201300,4213674
4168840,4199951,4210616
4177845,4194071,4195653
4174128,4194998,4200381
4168905,4199473,4210145
4166874,4201511,4214225
4168582,4200243,4211200
4176583,4197367,4200241
4172311,4199178,4206309
4168202,4201144,4212423
4167201,4201309,4213637
4168967,4200060,4210635
4176732,4197310,4200033
4172471,4199057,4206000
4168390,4200942,4212020
4168676,4199701,4210541
4172104,4196335,4203787
4176468,4197415,4200453
4172220,4199152,4206460
4168117,4201066,4212531
4167094,4201250,4213730
4168875,4199823,4210534
4176738,4197085,4199850
4172170,4198887,4206233
4168278,4200805,4212119
4167438,4200967,4213061
4179650,4193356,4193124
4178348,4192954,4194061
4173045,4197138,4203650
4168557,4200290,4211319
4167365,4200826,4213003
4178339,4196536,4197695
4176875,4196887,4199462
4172535,4198529,4205447
4168743,4199986,4210751
4167620,4200479,4212368
4178574,4196405,4197408
4177105,4196751,4199141
4172767,4198305,4205040
4170284,4198326,4207623
4170926,4196790,4205391
4178276,4196502,4197746
4176833,4196821,4199443
4172520,4198573,4205492
4168631,4200196,4211075
4167498,4200605,4212611
4178361,4196469,4197545
4176963,4196841,4199295
4172635,4198503,4205326
4168845,4199944,4210662
4177604,4194360,4196222
4180084,4192404,4191812
4177781,4195112,4196823
4172757,4198004,4204637
4168693,4199954,4210693
4176406,4197586,4200673
4178733,4196495,4197240
4177296,4196676,4198841
4173131,4197835,4204175
4169073,4199622,4210083
4176539,4197627,4200623
4178910,4196551,4197104
4177589,4196645,4198471
4174441,4196445,4201402
4172175,4196141,4203384
4176359,4197678,4200882
4178718,4196626,4197406
4177253,4196832,4198989
4172907,4197973,4204467
4168885,4199725,4210292
4176338,4197342,4200623
4178687,4196255,4197108
4177294,4196462,4198645
4173097,4197669,4204062
4169034,4199382,4209955
4177985,4193112,4194691
4179337,4194438,4194688
4177116,4196571,4198933
4172657,4198010,4204799
4172282,4199449,4206785
4176555,4197631,4200655
4178918,4196388,4196978
4177640,4196106,4197913
4173306,4197586,4203723
4172522,4199319,4206388
4176796,4197497,4200311
4179271,4196168,4196443
4178935,4194296,4194839
4176024,4193520,4196968
4172215,4199528,4206964
4176503,4197657,4200766
4178896,4196415,4197018
4177544,4196066,4197952
4172901,4197397,4203951
4172174,4199057,4206532
4176431,4197245,4200420
4178770,4196056,4196817
4177476,4195773,4197808
4173195,4197145,4203531
4174166,4195353,4200763
4177275,4195689,4197965
4178778,4196231,4196931
4177318,4195978,4198102
4172860,4197357,4203990
4172205,4199262,4206739
4176445,4197382,4200587
4178723,4196131,4196963
4177376,4195799,4197888
4168364,4200666,4211858
4172351,4198819,4206071
4176620,4196791,4199753
4179886,4193516,4193114
4179745,4191144,4190806
4168158,4201130,4212542
4172227,4199211,4206597
4176462,4197288,4200369
4178831,4195475,4196133
4177467,4195309,4197266
4168386,4200778,4211960
4172287,4198945,4206226
4176541,4196951,4199981
4179006,4195134,4195667
4177560,4195188,4197107
4170647,4197523,4206392
4173089,4197723,4204164
4176531,4197176,4200148
4178987,4195505,4195969
4177593,4195417,4197206
4168264,4200899,4212135
4172289,4199021,4206300
4176543,4197099,4200091
4178929,4195399,4195935
4177451,4195307,4197256
4168437,4200848,4211998
4172446,4198922,4206133
4177396,4195456,4197666
4180995,4191361,4189913
4166514,4202242,4215322
4168338,4201206,4212519
4172323,4199204,4206543
4176662,4196715,4199658
4179071,4195158,4195661
4166772,4201687,4214508
4168519,4200692,4211806
4172483,4198703,4205899
4176789,4196190,4199007
4179036,4194685,4195181
4169193,4198067,4208479
4169525,4199067,4209141
4172382,4198665,4205930
4176761,4196349,4199248
4179191,4194897,4195314
4166887,4201574,4214356
4168684,4200655,4211652
4172647,4198726,4205789
4176991,4196360,4199011
4179360,4194845,4195082
4167104,4201711,4214140
4168940,4200640,4211256
4173662,4197201,4203143
4179141,4192215,4192690
4168380,4201109,4212292
4167036,4201825,4214397
4168945,4200631,4211321
4173203,4198143,4204574
4177388,4196009,4198231
4168619,4200819,4211710
4167256,4201634,4213891
4169113,4200601,4211049
4173321,4198188,4204478
4177497,4196043,4198136
4170582,4197367,4206336
4168048,4200198,4211754
4168809,4200663,4211475
4172869,4198304,4205057
4177127,4196136,4198574
4168383,4200998,4212104
4167074,4201758,4214197
4168860,4200612,4211302
4173020,4198098,4204623
4177240,4195867,4198128
4168544,4200639,4211637
4167306,4201329,4213548
4169956,4198818,4208354
4175375,4193854,4197987
4179133,4192388,4192789
4168355,4200873,4212006
4167056,4201590,4214057
4168865,4200464,4211123
4173033,4197961,4204451
4172913,4198552,4205031
4168811,4200553,4211243
4167541,4201175,4213150
4169506,4199706,4209700
4173514,4197517,4203549
4174776,4194725,4199433
4169638,4199286,4209190
4167581,4201442,4213360
4169475,4199964,4209990
4173479,4197790,4203863
4173512,4198733,4204608
4169406,4200672,4210712
4168023,4201199,4212667
4169957,4199607,4209177
4173973,4197413,4203017
4173555,4198275,4204184
4169460,4200092,4210156
4169270,4199166,4209468
4172681,4195571,4202388
4175725,4194291,4198102
4173298,4198341,4204517
4169190,4200286,4210603
4167923,4200849,4212449
4169840,4199317,4209020
4173790,4197197,4202977
4173353,4198324,4204363
4169243,4200273,4210547
4168008,4200857,4212454
4169983,4199365,4209005
4179375,4192469,4192585
4174010,4196676,4202218
4169240,4200276,4210652
4168115,4200542,4211978
4169942,4199330,4208969
4177798,4196477,4198180
4173378,4198198,4204273
4169266,4200031,4210304
4168135,4200184,4211696
4169962,4198780,4208510
4177890,4196279,4197935
4173400,4198016,4204119
4170221,4198508,4207874
4170951,4196460,4205120
4172142,4196070,4203489
4177648,4196643,4198394
4173228,4198458,4204593
4169128,4200333,4210664
4168087,4200388,4211855
4169918,4199015,4208680
4177832,4196349,4197957
4173273,4198138,4204234
4169186,4199956,4210200
4168251,4200013,4211242
4170081,4198673,4208075
4178575,4194686,4195518
4173067,4198255,4204538
4168874,4200211,4210732
4167936,4200337,4211829
4179525,4196289,4196241
4178038,4196645,4197984
4173513,4198242,4204147
4169585,4199644,4209590
4168415,4200001,4211118
4179556,4196242,4196179
4178138,4196577,4197892
4174454,4196974,4202011
4172273,4196065,4203354
4170798,4197105,4205861
4179298,4196379,4196524
4177837,4196669,4198249
4173411,4198219,4204209
4169520,4199527,4209489
4168337,4199885,4211051
4179360,4195917,4196080
4177808,4196246,4197891
4173358,4197852,4203970
4169471,4199164,4209231
4168322,4199427,4210642
4180021,4194106,4193655
4177758,4196416,4198114
4173201,4198192,4204432
4169357,4199480,4209655
4168226,4199862,4211165
4179217,4196121,4196384
4177814,4196507,4198140
4173461,4198145,4204131
4169563,4199517,4209409
4177170,4197027,4199404
4179509,4195857,4195802
4178710,4194543,4195203
4175939,4193335,4196827
4171778,4195905,4203645
4176883,4197166,4199857
4179210,4196092,4196412
4177776,4196276,4197989
4173381,4197415,4203470
4169291,4199226,4209393
4176788,4197198,4199946
4179122,4196147,4196452
4177666,4196347,4198051
4173487,4197457,4203393
4169526,4199031,4209058
4177109,4195450,4197972
4178815,4196161,4196896
4177377,4196552,4198642
4173199,4197697,4203988
4169212,4199365,4209757
4176652,4197293,4200185
4178852,4196313,4196895
4177435,4196562,4198478
4173152,4197628,4203810
4172699,4198873,4205797
4176834,4197063,4199786
4179865,4194302,4193880
4179759,4191675,4191274
4175055,4194144,4198493
4172419,4199164,4206373
4176480,4197448,4200519
4178771,4196201,4196967
4177465,4195798,4197883
4173056,4197232,4203685
4172496,4199076,4206082
4176655,4197397,4200206
4178904,4196219,4196670
4177600,4195923,4197633
4173366,4197241,4203235
4173272,4197783,4204082
4176592,4197544,4200502
4178838,4196437,4197107
4177468,4196075,4198056
4173111,4197436,4203730
4172588,4198947,4205903
4176658,4197184,4200034
4178975,4196000,4196447
4177718,4195669,4197300
4173422,4197118,4203035
4172732,4198690,4205548
4177447,4195565,4197670
4180634,4192057,4190943
4179196,4192771,4193067
4168881,4200761,4211429
4172784,4198986,4205802
4176955,4197247,4199921
4179405,4195618,4195801
4178012,4195581,4197085
4169205,4200661,4211010
4173039,4198973,4205515
4177160,4197122,4199506
4179579,4195421,4195344
4178175,4195295,4196594
4170418,4198413,4207583
4172677,4198745,4205613
4176952,4197137,4199720
4179559,4195353,4195319
4178187,4195369,4196668
4169255,4200599,4210790
4173070,4198825,4205262
4177061,4196983,4199363
4179422,4195275,4195224
4178039,4195257,4196571
4169431,4200315,4210409
4173851,4197181,4202812
4178802,4192865,4193571
4180975,4191939,4190460
4178515,4194638,4195591
4169207,4200877,4211156
4172919,4199160,4205769
4176963,4197378,4199901
4179394,4195660,4195701
4167357,4201447,4213635
4169092,4200594,4211016
4172813,4198755,4205476
4176909,4196327,4198948
4179175,4194840,4195172
4168143,4200037,4211350
4168661,4200944,4211721
4172376,4199255,4206357
4176658,4196853,4199671
4179044,4195524,4195913
4167005,4202114,4214610
4168825,4201159,4211790
4172651,4199247,4206127
4176827,4196886,4199629
4179119,4195459,4195818
4167142,4201759,4214108
4169692,4199349,4209171
4174492,4195080,4200133
4178470,4193344,4194475
4179310,4194645,4194853
4166960,4201957,4214495
4168787,4200959,4211689
4172633,4199009,4205986
4176778,4196600,4199400
4179030,4195233,4195669
4167237,4201657,4213928
4168969,4200798,4211338
4172823,4198936,4205669
4177029,4196600,4199069
4169353,4199472,4209673
4167338,4201700,4213885
4169127,4200734,4211125
4173106,4198305,4204768
4177109,4196134,4198598
4168630,4200913,4211826
4167313,4201678,4213951
4169139,4200562,4211008
4173148,4198103,4204513
4177098,4196023,4198447
4168721,4200736,4211444
4168396,4200129,4211186
4171271,4197121,4205296
4174590,4195425,4200304
4177248,4195589,4197796
4168323,4201003,4212119
4167070,4201652,4213970
4168911,4200475,4211019
4172937,4198062,4204623
4176971,4196001,4198475
4168514,4200689,4211579
4167264,4201429,4213572
4169026,4200465,4210894
4173069,4198098,4204571
4173385,4197142,4203154
4168509,4200983,4211934
4167180,4201703,4214026
4169125,4200210,4210607
4173003,4197970,4204491
4172761,4198885,4205544
4168692,4200865,4211652
4167454,4201467,4213536
4169383,4199968,4210090
4173203,4197840,4204175
4172791,4198725,4205377
4169588,4199514,4209435
4169765,4198135,4207845
4171308,4197214,4205360
4173445,4197238,4203299
4172501,4198811,4205735
4168459,4200787,4211806
4167270,4201352,4213566
4169220,4199874,4210115
4173065,4197741,4204223
4172513,4198681,4205604
4168514,4200657,4211691
4167345,4201275,4213521
4169245,4199811,4210124
4173373,4197219,4203408
4172311,4198916,4206034
4168182,4201135,4212440
4166997,4201709,4214202
4168939,4200188,4210769
4176673,4197232,4199935
4172405,4199012,4206000
4168470,4200965,4211976
4167619,4201148,4213065
4169444,4199835,4209957
4177029,4197078,4199543
4173611,4197623,4203509
4171021,4197445,4205963
4169771,4198161,4207942
4169719,4199098,4208899
4176515,4197283,4200101
4172139,4199041,4206240
4168212,4200975,4212226
4167456,4201117,4213184
4169226,4199884,4210179
4176594,4197195,4200046
4172421,4198928,4205932
4168483,4200793,4211778
4167572,4200903,4212841
4169667,4199097,4208960
4176375,4197173,4200263
4172078,4199114,4206479
4168188,4200930,4212254
4167250,4200985,4213291
4168934,4199648,4210261
4176420,4197009,4200030
4172323,4198764,4205885
4168391,4200651,4211806
4167512,4200773,4212824
4178170,4196342,4197694
4177569,4195254,4197124
4174637,4194659,4199482
4170945,4196842,4205422
4168090,4199726,4211170
4178007,4196564,4198104
4176673,4196881,4199731
4172500,4198468,4205470
4168837,4199851,4210532
4167837,4200266,4211996
4178336,4196478,4197717
4176977,4196858,4199387
4172876,4198455,4205103
4169157,4199844,4210290
4168505,4199711,4210799
4178402,4196572,4197792
4176931,4197075,4199676
4172724,4198700,4205494
4169001,4200025,4210608
4167872,4200285,4211981
4178580,4196624,4197611
4177228,4196959,4199226
4172989,4198496,4205023
4169289,4199829,4210188
4168278,4200142,4211528
4179547,4194850,4194887
4178982,4192837,4193375
4174376,4195458,4200667
4169585,4199592,4209625
4176703,4197727,4200699
4179127,4196642,4197123
4177785,4196823,4198555
4173517,4197941,4203910
4169549,4199609,4209621
4176699,4197483,4200413
4178990,4196449,4196979
4177602,4196686,4198520
4173456,4197750,4203744
4169931,4198891,4208553
4176215,4197259,4200668
4178520,4196438,4197476
4177158,4196681,4198993
4173078,4197818,4204184
4169183,4199415,4209724
4176500,4197268,4200412
4178750,4196282,4197036
4177326,4196421,4198516
4173049,4197462,4203903
4169182,4199144,4209520
4177030,4195878,4198397
4180192,4192509,4191802
4178549,4193403,4194313
4173248,4197088,4203285
4172449,4199122,4206275
4176448,4197390,4200510
4178786,4196179,4196894
4177545,4195848,4197749
4173302,4197254,4203402
4172687,4198956,4205898
4176604,4197199,4200174
4178836,4195881,4196553
4177602,4195481,4197303
4173640,4196558,4202346
4172504,4198937,4206063
4176468,4197403,4200521
4178760,4196191,4196949
4177417,4195870,4197922
4173130,4197136,4203541
4172835,4199041,4205881
4176837,4197329,4200128
4179044,4196067,4196594
4177758,4195676,4197445
4173488,4196933,4202988
4173451,4197250,4203399
4178271,4193048,4194382
4180166,4192585,4191992
4177972,4195052,4196541
